invoice_date,SKUCode,Description,volume
12/30/2025,1225121715115SSTL0,215 / 75 R 15 STEEL KING TT,16
12/30/2025,1225121716010SXC10,NA,20
12/30/2025,1225170015012LSTL0,7.00R15 STEEL KING TT 12PR,508
12/30/2025,1225221715115SSTL0,215 / 75 R 15 STEEL KING TL,4
12/30/2025,1225221716010SXC10,NA,3
12/30/2025,1225222716121MXC11,225/75 R 16 ULTIMA XPC -1 TL VOLVO,8
12/30/2025,1225223516121PSKP0,235/65 R 16 STEEL KING+ TL,34
12/30/2025,1325114612069TUHL0,145/70R12 ULTIMA HILIFE69T TT,26
12/30/2025,1325114812074TUHL0,145/80R12 ULTIMA HILIFE TT 74T ,27
12/30/2025,1325119015008SRBT0,195 R15 LT RANGER BRT TT,8
12/30/2025,1325121715100SBRT0,215/75 R15 BRUTE 4X4 TT,11
12/30/2025,1325121715100SRBT0,NA,3
12/30/2025,1325121715115SLTB0,215 / 75 R 15 BRUTE L/T ( 3 PLY ),34
12/30/2025,1325123715105SBRT0,235/75 R15 BRUTE 4X4 TT,61
12/30/2025,1325214612069TUHL0,145/70R12 ULTIMA HILIFE 69T TL,9
12/30/2025,1325214812074TUHL0,145/80R12 ULTIMA HILIFE TL 74 T,65
12/30/2025,1325214813075STMX0,145/80R13-TAXIMAX-75S-TL,8
12/30/2025,1325214813075SUNE1,145/80 R13  ULTIMA  NEO TL Y0M,43
12/30/2025,1325215513073TUHL0,155/65R13 ULTIMA HILIFE  TL  73T,24
12/30/2025,1325215613075TTMX0,155/70R13 TAXIMAX TL 75T,6
12/30/2025,1325215613075TUHL0,155/70R13 ULTIMA HILIFE TL 75T,24
12/30/2025,1325215813079STMX0, 155/80R13 TAXIMAX TL 79S ,120
12/30/2025,1325215813079SUHL0,155/80R13 ULTIMA HILIFE TL 79 S,68
12/30/2025,1325215813079TUNE6,155/80R13 ULTIMA NEO 79T TL,1
12/30/2025,1325216513077TUHL0,165/65R13 ULTIMA HILIFE 77T TL,15
12/30/2025,1325216514079TTMX0,165/65 R 14 TAXIMAX TL,12
12/30/2025,1325216614081STMX0,165/70 R 14 TAXIMAX TL ,131
12/30/2025,1325216614081SUTR0,NA,90
12/30/2025,1325216814085STMX0,165/80 R14 TAXIMAX TL 85S,434
12/30/2025,1325216814085SUTR0,165/80R14 UX TOURING TL,70
12/30/2025,1325216814085TURL0,16580R14 UX ROYALE TL,176
12/30/2025,1325217413077TUSP0,175/60R13ULTIMA SPORT TL 77T,14
12/30/2025,1325217514082TTMX0,175/65 R14 TAXIMAX TL  82 T,74
12/30/2025,1325217514082TVECH,175/65R14 VECTRA TL 82 T 2UA,5
12/30/2025,1325218415084TTMX0,185/60 R 15 TAXIMAX TL   84T,40
12/30/2025,1325218515088HTMX0,185/65 R15 TAXI MAX TL,94
